original_trip_id,origin_lat,origin_lon,dest_lat,dest_lon,bike_duration,bike_distance,walktransit_duration,walktransit_distance,n_segments_walktransit,modes_used_walktransit,multimodal_duration,multimodal_distance,n_segments_multimodal,modes_used_multimodal
7E208A4ED41DE2AB,42.3659943286744,-71.095222216145,42.3725086499726,-71.113053560257,19.7,2848,18,2444,2,WALK + BUS,19.7,2848,1,BICYCLE
7E404D30AE192E29,42.3362444479688,-71.0879856348038,42.3581,-71.093198,33.9,3083,25.9,3186,3,WALK + BUS,16.7,3230,3,BICYCLE + BUS + WALK
7E4AD975510FCE26,42.3741245494265,-71.0548119993837,42.3804294744949,-71.0605572167697,8.5,1124,10.6,1153,3,WALK + BUS,8.5,1124,1,BICYCLE
7E4E58F87830BDDB,42.3572185031765,-71.1138716340065,42.3576624788988,-71.1084133386612,4,707,10.9,704,1,WALK,4,707,1,BICYCLE
7E7F735FF88CEE31,42.3483586281705,-71.1399721727685,42.3508268066909,-71.0898108780384,34.7,4555,29.1,4477,3,WALK + TRAM,27.7,4407,3,BICYCLE + TRAM + WALK
7E9201262DB79F0A,42.363564989894,-71.1004418404809,42.365188,-71.060788,30.7,4397,22.3,5376,4,WALK + SUBWAY + TRAM,21.7,5359,5,BICYCLE + SUBWAY + WALK + TRAM
7E9AFFC84971DAAC,42.341332,-71.076847,42.335741,-71.03877,32.3,4500,23.1,4375,4,WALK + BUS,17.7,4092,3,BICYCLE + BUS + WALK
7E9BD19FA43EC154,42.3625,-71.08822,42.3836389482227,-71.1085367202759,29.5,4628,20.5,4072,5,WALK + BUS,25.7,5567,3,BICYCLE + BUS + WALK
7E9EC3FB371DC0DA,42.3670740714909,-71.0767927765846,42.371141,-71.076198,6.6,622,10,634,1,WALK,6.6,622,1,BICYCLE
7EB8EF18123FCB83,42.363554001,-71.100419998,42.340835,-71.0816197,37.1,4054,17.4,3106,3,WALK + BUS,17.8,3129,3,BICYCLE + BUS + WALK
7EBA17604A00C29F,42.352052,-71.07036,42.340835,-71.0816197,17.4,1924,14.6,2206,3,WALK + TRAM,17.4,1924,1,BICYCLE
7EDA77D571A9C10B,42.366277,-71.09169,42.362647791186,-71.1000609397888,9.9,1267,16.9,1014,1,WALK,9.9,1267,1,BICYCLE
7EE8F8F094AF073F,42.368019,-71.1242,42.3787535121259,-71.1070722341538,21.7,3358,17.5,3185,2,WALK + BUS,21.7,3358,1,BICYCLE
7F00AA4FE34B6A5C,42.331184,-71.095171,42.338431795291,-71.0816904992498,9.5,1582,10.9,2248,4,WALK + SUBWAY + BUS,9.5,1582,1,BICYCLE
7F1C9248B1CF56B5,42.3630037815601,-71.089740377065,42.3508268066909,-71.0898108780384,20.9,1870,16.8,2102,3,WALK + BUS,13.4,2168,3,BICYCLE + BUS + WALK
